feeder,topology,portfolio,native_dc_share,converter_efficiency,spatial_allocations,all_ac_count,hybrid_count,root_dc_count,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_loss_change_pct,median_loss_change_pct,minimum_loss_change_pct,maximum_loss_change_pct,distinct_boundary_signatures,all_ac_pct,hybrid_pct,root_dc_pct
rural,synthetic_mst,K2,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.25,0.98,3,0,3,0,0.10256410256410257,0.045973364807111484,-2.9359876856189335,-2.823168751419321,-5.652175818721285,-0.33261848671619515,3,0.0,100.0,0.0
rural,synthetic_mst,K2,0.25,0.99,3,0,3,0,0.12820512820512822,0.11590163772841777,-12.49959333212231,-10.33414892350502,-18.113182187852196,-9.051448885009709,3,0.0,100.0,0.0
rural,synthetic_mst,K2,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.5,0.98,3,0,3,0,0.17948717948717952,0.19099805471857903,-10.901892063043954,-14.080595321155881,-15.594380333774712,-3.0307005342012676,3,0.0,100.0,0.0
rural,synthetic_mst,K2,0.5,0.99,3,0,3,0,0.17948717948717952,0.190998054718579,-19.82221339315327,-24.652426381857303,-29.273036087021715,-5.541177710580789,3,0.0,100.0,0.0
rural,synthetic_mst,K2,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,0.75,0.98,3,0,3,0,0.38461538461538464,0.37466973243481555,-14.816059197328679,-14.694198507608109,-16.4044850685801,-13.349494015797827,3,0.0,100.0,0.0
rural,synthetic_mst,K2,0.75,0.99,3,0,3,0,0.5641025641025641,0.5101766864822336,-28.167863393856848,-29.11480526651718,-29.79351072541185,-25.595274189641515,3,0.0,100.0,0.0
rural,synthetic_mst,K2,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K2,1.0,0.98,3,0,0,3,1.0,1.0,-34.33978951604899,-34.33978951604899,-34.33978951604899,-34.33978951604899,1,0.0,0.0,100.0
rural,synthetic_mst,K2,1.0,0.99,3,0,0,3,1.0,1.0,-58.14781932664709,-58.14781932664709,-58.14781932664709,-58.14781932664709,1,0.0,0.0,100.0
rural,synthetic_mst,K3,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.25,0.98,3,0,3,0,0.10256410256410257,0.045973364807111484,-3.001775572720515,-2.880075814971802,-5.789237236895724,-0.33601366629401896,3,0.0,100.0,0.0
rural,synthetic_mst,K3,0.25,0.99,3,0,3,0,0.12820512820512822,0.11590163772841777,-12.78680665348048,-10.587800171348876,-18.512108210459136,-9.260511578633427,3,0.0,100.0,0.0
rural,synthetic_mst,K3,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.5,0.98,3,0,3,0,0.17948717948717952,0.19099805471857903,-11.025473997437446,-14.24050250974831,-15.767168948476854,-3.068750534087179,3,0.0,100.0,0.0
rural,synthetic_mst,K3,0.5,0.99,3,0,3,0,0.17948717948717952,0.190998054718579,-20.062465223339558,-24.950206151014186,-29.62482365782283,-5.6123658611816545,3,0.0,100.0,0.0
rural,synthetic_mst,K3,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,0.75,0.98,3,0,3,0,0.38461538461538464,0.37466973243481555,-14.908327353270211,-14.802334354048538,-16.496853690312527,-13.425794015449572,3,0.0,100.0,0.0
rural,synthetic_mst,K3,0.75,0.99,3,0,3,0,0.5641025641025641,0.5101766864822336,-28.2344699732036,-29.3201734721032,-29.581934406919512,-25.801302040588077,3,0.0,100.0,0.0
rural,synthetic_mst,K3,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K3,1.0,0.98,3,0,0,3,1.0,1.0,-34.21119075637946,-34.21119075637946,-34.211190756379466,-34.21119075637946,1,0.0,0.0,100.0
rural,synthetic_mst,K3,1.0,0.99,3,0,0,3,1.0,1.0,-58.18122574422167,-58.18122574422166,-58.18122574422166,-58.18122574422166,1,0.0,0.0,100.0
suburban,original,K0,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
suburban,original,K0,0.25,0.98,3,2,1,0,0.023809523809523808,0.03741146745342728,-3.0985272035379956,0.0,-9.295581610613986,0.0,2,66.66666666666666,33.33333333333333,0.0
suburban,original,K0,0.25,0.99,3,1,2,0,0.05555555555555555,0.07247051362386704,-8.999026032144855,-7.822255151650919,-19.174822944783646,0.0,3,33.33333333333333,66.66666666666666,0.0
suburban,original,K0,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
